"","dyad.merge","conttype"
"782","040002_1980",4
"783","040002_1981",4
"784","040002_1982",4
"785","040002_1983",4
"786","040002_1984",4
"787","040002_1985",4
"788","040002_1986",4
"789","040002_1987",4
"790","040002_1988",4
"791","040002_1989",4
"792","040002_1990",4
"793","040002_1991",4
"794","040002_1992",4
"795","040002_1993",4
"796","040002_1994",4
"797","040002_1995",4
"798","040002_1996",4
"799","040002_1997",4
"800","040002_1998",4
"801","040002_1999",4
"802","040002_2000",4
"803","040002_2001",4
"804","040002_2002",4
"805","040002_2003",4
"806","040002_2004",4
"807","040002_2005",4
"808","040002_2006",4
"809","040031_1973",4
"810","040031_1974",4
"811","040031_1975",4
"812","040031_1976",4
"813","040031_1977",4
"814","040031_1978",4
"815","040031_1979",4
"816","040031_1980",4
"817","040031_1981",4
"818","040031_1982",4
"819","040031_1983",4
"820","040031_1984",4
"821","040031_1985",4
"822","040031_1986",4
"823","040031_1987",4
"824","040031_1988",4
"825","040031_1989",4
"826","040031_1990",4
"827","040031_1991",4
"828","040031_1992",4
"829","040031_1993",4
"830","040031_1994",4
"831","040031_1995",4
"832","040031_1996",4
"833","040031_1997",4
"834","040031_1998",4
"835","040031_1999",4
"836","040031_2000",4
"837","040031_2001",4
"838","040031_2002",4
"839","040031_2003",4
"840","040031_2004",4
"841","040031_2005",4
"842","040031_2006",4
"843","040041_1902",4
"844","040041_1903",4
"845","040041_1904",4
"846","040041_1905",4
"847","040041_1906",4
"848","040041_1909",4
"849","040041_1910",4
"850","040041_1911",4
"851","040041_1912",4
"852","040041_1913",4
"853","040041_1914",4
"854","040041_1915",4
"855","040041_1934",4
"856","040041_1935",4
"857","040041_1936",4
"858","040041_1937",4
"859","040041_1938",4
"860","040041_1939",4
"861","040041_1940",4
"862","040041_1941",4
"863","040041_1942",4
"864","040041_1943",4
"865","040041_1944",4
"866","040041_1945",4
"867","040041_1946",4
"868","040041_1947",4
"869","040041_1948",4
"870","040041_1949",4
"871","040041_1950",4
"872","040041_1951",4
"873","040041_1952",4
"874","040041_1953",4
"875","040041_1954",4
"876","040041_1955",4
"877","040041_1956",4
"878","040041_1957",4
"879","040041_1958",4
"880","040041_1959",4
"881","040041_1960",4
"882","040041_1961",4
"883","040041_1962",4
"884","040041_1963",4
"885","040041_1964",4
"886","040041_1965",4
"887","040041_1966",4
"888","040041_1967",4
"889","040041_1968",4
"890","040041_1969",4
"891","040041_1970",4
"892","040041_1971",4
"893","040041_1972",4
"894","040041_1973",4
"895","040041_1974",4
"896","040041_1975",4
"897","040041_1976",4
"898","040041_1977",4
"899","040041_1978",4
"900","040041_1979",4
"901","040041_1980",4
"902","040041_1981",4
"903","040041_1982",4
"904","040041_1983",4
"905","040041_1984",4
"906","040041_1985",4
"907","040041_1986",4
"908","040041_1987",4
"909","040041_1988",4
"910","040041_1989",4
"911","040041_1990",4
