region,claimdy,claim,name,dyadnum,chal,tgt,dyad,begclaim,endclaim,resolved,endviol,icowsal,icowsalc,salchal,saltgt,saltan,salint,salintc,salintt,midsiss,midsfat,warsiss,version
5,94608,946,"Paracel Islands",8,817,710,710817,197402,197504,6,0,8,3,4,4,4,4,2,2,0,0,0,1.01
5,94609,946,"Paracel Islands",9,816,710,710816,197504,200199,-9,-9,8,3,4,4,4,4,2,2,1,0,0,1.01
5,95201,952,"Lan Kwai & See Sok",1,800,200,200800,193401,193406,4,0,4,1,2,2,2,2,1,1,0,0,0,1.01
5,95202,952,"Shan States & Kentung",2,800,200,200800,194201,194601,4,1,6,2,3,3,4,2,1,1,1,1,0,1.01
5,95203,952,"Three Pagodas Pass",3,775,800,775800,199002,200199,-9,-9,8,3,4,4,4,4,2,2,1,0,0,1.01
5,95204,952,"Mae Sot Islet",4,775,800,775800,199705,200101,4,0,3,1,1,2,0,3,1,2,0,0,0,1.01
5,95301,953,"Andaman Sea Islands",1,775,800,775800,198908,200199,-9,-9,5,2,2,3,2,3,1,2,1,1,0,1.01
5,95401,954,"Muong Sing",1,220,200,200220,189310,189601,4,0,5,2,2,3,4,1,0,1,0,0,0,1.01
5,95501,955,"Burma",1,740,200,200740,194007,194204,7,1,5,2,2,3,4,1,0,1,1,1,1,1.01
5,95601,956,"Battambang & Siemreap",1,220,800,220800,190601,190703,4,0,8,3,3,5,6,2,0,2,0,0,0,1.01
5,95602,956,"Preah Vihear",2,800,220,220800,194901,195311,5,0,4,1,3,1,0,4,3,1,0,0,0,1.01
5,95603,956,"Preah Vihear",3,800,811,800811,195311,196206,12,0,5,2,3,2,0,5,3,2,4,1,0,1.01
5,95604,956,"Ko Kut Island",4,800,811,800811,196307,196506,7,1,7,2,3,4,4,3,1,2,3,2,0,1.01
5,95605,956,"Ko Kut Island",5,811,800,800811,196506,200199,-9,-9,8,3,4,4,4,4,2,2,5,3,0,1.01
5,95801,958,"Luang-Prabang",1,220,800,220800,189303,189310,4,1,8,3,3,5,6,2,0,2,1,1,1,1.01
5,95802,958,"Sayaboury & Bassac",2,220,800,220800,190201,190402,4,0,6,2,2,4,4,2,0,2,0,0,0,1.01
5,95803,958,"Cardamoms Peninsula-Ko Chang-Ko Kut-West Luang Prabang",3,220,800,220800,190402,190406,4,0,4,1,1,3,2,2,0,2,0,0,0,1.01
5,95804,958,"Dan Sai-Cardamoms Peninsula-Ko Chang-Ko Kut",4,800,220,220800,190601,190703,4,0,6,2,4,2,2,4,3,1,0,0,0,1.01
5,95805,958,"Battambang-Siemreap-West Bank Mekong",5,800,220,220800,193908,194103,12,1,8,3,5,3,4,4,3,1,1,1,1,1.01
5,95806,958,"Battambang-Siemreap-West Bank Mekong",6,220,800,220800,194508,194706,13,0,7,2,3,4,4,3,1,2,1,1,0,1.01
5,95807,958,"Ban Rom Klao",7,800,812,800812,198403,200199,-9,-9,7,2,3,4,2,5,2,3,2,2,0,1.01
5,96001,960,"Singapore-Benkulen-Fort Marlborough-Belitung",1,210,200,200210,181908,182403,4,0,5,2,2,3,4,1,0,1,0,0,0,1.01
5,96101,961,"Dutch Malaya",1,200,210,200210,182006,182403,4,0,7,2,3,4,6,1,0,1,0,0,0,1.01
5,96102,961,"North Borneo and Sarawak",2,850,820,820850,196309,196703,1,0,7,2,3,4,2,5,2,3,1,1,0,1.01
5,96201,962,"North Malay States",1,200,800,200800,190202,190903,4,0,8,3,3,5,6,2,0,2,0,0,0,1.01
5,96202,962,"North Malay States",2,800,200,200800,194201,194601,4,1,9,3,5,4,6,3,2,1,1,1,0,1.01
5,96401,964,"Prek Binh Gi-Bassac-Loc Ninh-Quan Phu Quoc",1,811,817,811817,195406,197504,6,0,7,2,3,4,2,5,2,3,6,2,0,1.01
5,96402,964,"Prek Binh Gi-Bassac-Loc Ninh-Quan Phu Quoc",2,811,816,811816,197504,198512,4,1,7,2,3,4,2,5,2,3,0,0,0,1.01
5,96403,964,"Mondol Kiri Province & Minor Border Areas",3,811,816,811816,199308,200199,-9,-9,7,2,3,4,2,5,2,3,1,0,0,1.01
5,96501,965,"French Indochina",1,740,220,220740,194007,194204,7,1,7,2,3,4,6,1,0,1,0,0,0,1.01
5,96801,968,"Limbang (North Sarawak)",1,835,820,820835,198401,200199,-9,-9,7,2,3,4,4,3,1,2,0,0,0,1.01
5,96901,969,"British Southeast Asia (Malaysia / Singapore / Borneo)",1,740,200,200740,194007,194204,7,1,7,2,3,4,6,1,0,1,1,1,1,1.01
5,97001,970,"Philippines",1,2,230,2230,189807,189812,13,1,7,2,3,4,6,1,0,1,1,1,1,1.01
5,97002,970,"Palmas Island",2,2,210,2210,190601,192804,12,0,3,1,1,2,2,1,0,1,0,0,0,1.01
5,97003,970,"Philippines",3,740,2,2740,194007,194204,7,1,7,2,3,4,6,1,0,1,1,1,1,1.01
5,97101,971,"North Borneo",1,230,200,200230,188111,188503,4,0,5,2,2,3,4,1,0,1,0,0,0,1.01
5,97102,971,"North Borneo",2,840,200,200840,196206,196309,5,0,6,2,3,3,4,2,1,1,0,0,0,1.01
5,97103,971,"Sabah (North Borneo)",3,840,820,820840,196309,200199,-9,-9,7,2,3,4,4,3,1,2,2,0,0,1.01
5,97201,972,"Sipadan & Ligitan",1,850,820,820850,199106,200199,-9,-9,5,2,2,3,2,3,1,2,0,0,0,1.01
5,97401,974,"Laurantuca-Woure-Pamangkaju",1,210,235,210235,185901,185904,4,0,3,1,1,2,2,1,0,1,0,0,0,1.01
5,97402,974,"Tahakay & Tamiru Ailala",2,210,235,210235,189306,190410,4,0,3,1,1,2,2,1,0,1,0,0,0,1.01
5,97403,974,"Oecussi Enclave Border",3,235,210,210235,190906,191406,12,0,4,1,2,2,2,2,1,1,0,0,0,1.01
5,97404,974,"East Timor",4,850,235,235850,197404,197512,7,1,7,2,4,3,4,3,2,1,1,0,0,1.01
5,97405,974,"East Timor",5,235,850,235850,197512,199905,13,0,7,2,3,4,4,3,1,2,0,0,0,1.01
5,97601,976,"German New Guinea",1,200,255,200255,191409,191905,14,1,5,2,2,3,4,1,0,1,0,0,0,1.01
5,97602,976,"Papua New Guinea",2,740,900,740900,194007,194508,7,1,5,2,2,3,4,1,0,1,1,1,1,1.01
5,97603,976,"West Irian",3,850,210,210850,194912,196207,13,0,7,2,4,3,4,3,2,1,7,3,0,1.01
5,97604,976,"Torres Straits Islands",4,910,900,900910,197509,197812,4,0,8,3,4,4,4,4,2,2,0,0,0,1.01
5,97801,978,"Matthew & Hunter Islands",1,935,220,220935,198201,200199,-9,-9,2,1,1,1,0,2,1,1,0,0,0,1.01
5,98001,980,"Pulau Batu Puteh (Pedra Branca)",1,820,830,820830,197804,200199,-9,-9,5,2,2,3,2,3,1,2,1,0,0,1.01
5,98101,981,"Guam",1,2,230,2230,189804,189812,13,1,5,2,2,3,4,1,0,1,1,1,1,1.01
5,98102,981,"Caroline-Pelew-Marianas Islands",2,255,230,230255,188508,188512,12,0,5,2,2,3,4,1,0,1,0,0,0,1.01
5,98103,981,"Caroline-Pelew-Marianas Islands",3,255,230,230255,189808,189902,4,0,5,2,2,3,4,1,0,1,0,0,0,1.01
5,98104,981,"Caroline-Marshall-Pelew-Marianas Islands",4,740,255,255740,191410,191906,14,1,5,2,2,3,4,1,0,1,1,1,1,1.01
5,98105,981,"US Pacific Islands",5,740,2,2740,194112,194204,7,1,5,2,2,3,4,1,0,1,0,0,0,1.01
5,98201,982,"German Samoa (Upola and Savaii)",1,2,255,2255,188701,189912,13,0,7,2,3,4,6,1,0,1,2,0,0,1.01
5,98202,982,"American Samoa (Tutuila and Manu'a)",2,255,2,2255,188701,189912,13,0,7,2,3,4,6,1,0,1,0,0,0,1.01
5,98203,982,"American Samoa (Tutuila and Manu'a)",3,200,2,2200,188701,189912,13,0,7,2,3,4,6,1,0,1,0,0,0,1.01
5,98204,982,"German Samoa (Upola and Savaii)",4,200,255,200255,188701,189912,13,0,7,2,3,4,6,1,0,1,2,0,0,1.01
5,98301,983,"German Solomon Islands",1,200,255,200255,189505,189912,4,0,5,2,2,3,4,1,0,1,0,0,0,1.01
5,98401,984,"Spratly Islands",1,710,220,220710,193307,193903,11,0,6,2,3,3,4,2,1,1,0,0,0,1.01
5,98402,984,"Spratly Islands",2,740,220,220740,193903,193903,7,1,5,2,2,3,4,1,0,1,1,0,0,1.01
5,98403,984,"Spratly Islands",3,220,740,220740,193903,194211,6,0,6,2,3,3,4,2,1,1,0,0,0,1.01
5,98404,984,"Spratly Islands",4,220,740,220740,194408,194508,6,0,6,2,3,3,4,2,1,1,0,0,0,1.01
5,98405,984,"Spratly Islands",5,710,740,710740,193903,194508,6,0,7,2,3,4,4,3,1,2,0,0,0,1.01
5,98406,984,"Spratly Islands",6,220,710,220710,194508,194801,1,0,8,3,4,4,4,4,2,2,0,0,0,1.01
5,98407,984,"Spratly Islands",7,817,710,710817,195406,197504,6,0,8,3,4,4,4,4,2,2,2,0,0,1.01
5,98408,984,"Spratly Islands",8,816,710,710816,197504,200199,-9,-9,8,3,4,4,4,4,2,2,6,1,0,1.01
5,98409,984,"Spratly Islands",9,817,713,713817,195406,197504,6,0,8,3,4,4,4,4,2,2,4,0,0,1.01
5,98410,984,"Spratly Islands",10,816,713,713816,197504,200199,-9,-9,8,3,4,4,4,4,2,2,2,0,0,1.01
5,98411,984,"Kalayaan (Eastern Spratly Islands)",11,840,710,710840,197107,200199,-9,-9,8,3,4,4,4,4,2,2,5,0,0,1.01
5,98412,984,"Kalayaan (Eastern Spratly Islands)",12,840,713,713840,197107,200199,-9,-9,8,3,4,4,4,4,2,2,1,0,0,1.01
5,98413,984,"Kalayaan (Eastern Spratly Islands)",13,840,816,816840,197504,200199,-9,-9,8,3,4,4,4,4,2,2,2,0,0,1.01
5,98414,984,"Kalayaan (Eastern Spratly Islands)",14,840,817,817840,197107,197504,6,0,8,3,4,4,4,4,2,2,1,0,0,1.01
5,98415,984,"Southern Spratly Islands",15,820,710,710820,197912,200199,-9,-9,8,3,4,4,4,4,2,2,1,0,0,1.01
5,98416,984,"Southern Spratly Islands",16,820,713,713820,197912,200199,-9,-9,8,3,4,4,4,4,2,2,0,0,0,1.01
5,98417,984,"Southern Spratly Islands",17,820,816,816820,197912,200199,-9,-9,8,3,4,4,4,4,2,2,1,0,0,1.01
5,98418,984,"Southern Spratly Islands",18,820,840,820840,197912,200199,-9,-9,8,3,4,4,4,4,2,2,1,0,0,1.01
