dispnum3,dispnum4,stday,stmon,styear,endday,endmon,endyear,outcome,settle,fatality,fatalpre,maxdur,mindur,hiact,hostlev,recip,numa,numb,link1,link2,link3,ongo2010,version
4391,10607,10,11,2006,10,11,2006,5,3,0,0,0,0,11,3,0,1,1,0,0,0,0,gml-2.0
4392,10701,28,7,2007,19,12,2007,5,3,1,3,144,144,17,4,1,1,1,0,0,0,0,gml-2.0
4393,10702,10,9,2007,13,3,2008,8,-9,0,0,185,185,16,4,1,1,1,0,0,0,0,gml-2.0
4394,10703,26,12,2007,26,12,2007,5,3,0,0,0,0,17,4,1,1,1,10503,1055,10605,0,gml-2.0
4395,10704,28,12,2007,13,7,2008,5,3,0,0,198,198,17,4,1,1,1,10606,0,0,0,gml-2.0
4396,10801,12,2,2008,12,2,2008,2,2,1,1,0,0,17,4,1,1,1,0,0,0,0,gml-2.0
4397,10802,2,3,2008,2,3,2008,5,3,0,0,0,0,16,4,0,1,1,0,0,0,0,gml-2.0
4398,10803,18,4,2008,18,10,2008,-9,-9,1,-9,183,183,17,4,1,1,1,0,0,0,0,gml-2.0
4399,10804,9,5,2008,8,7,2008,5,3,0,0,60,60,16,4,1,1,1,0,0,0,0,gml-2.0
4400,10805,11,11,2008,11,11,2008,5,3,0,0,0,0,11,3,0,1,1,10607,0,0,0,gml-2.0
4401,10806,5,12,2008,20,9,2010,5,3,0,0,654,654,16,4,0,1,1,10603,0,0,1,gml-2.0
4402,10901,27,2,2009,NA,3,2009,-9,-9,0,0,32,2,14,4,0,1,1,0,0,0,0,gml-2.0
4403,10902,15,5,2009,15,7,2009,5,3,1,-9,61,61,16,4,0,1,1,10704,0,0,0,gml-2.0
4404,10903,20,6,2009,13,9,2009,5,3,0,0,85,85,11,3,0,1,1,10805,0,0,0,gml-2.0
4405,11001,3,1,2010,3,1,2010,2,2,1,-9,0,0,17,4,1,1,1,10703,0,0,0,gml-2.0
4406,11002,28,6,2010,28,6,2010,5,3,0,0,0,0,11,3,0,1,1,0,0,0,0,gml-2.0
4407,11003,25,6,2010,1,9,2010,8,-9,0,0,68,68,15,4,1,1,6,0,0,0,1,gml-2.0
4408,11004,29,8,2010,31,12,2010,8,-9,1,3,124,124,14,4,0,1,1,0,0,0,1,gml-2.0
4409,20203,22,2,2002,22,2,2002,5,3,0,0,0,0,7,3,1,1,1,0,0,0,0,gml-2.0
4410,20204,2,4,2002,3,4,2002,5,3,0,0,1,1,7,3,0,1,2,4095,0,0,0,gml-2.0
4411,20205,23,5,2002,23,5,2002,5,3,0,0,0,0,11,3,0,1,1,0,0,0,0,gml-2.0
4412,20206,21,7,2002,21,7,2002,6,1,0,0,0,0,16,4,0,1,1,0,0,0,0,gml-2.0
4414,20208,9,8,2002,20,11,2010,5,3,2,-9,3025,3025,17,4,1,1,1,0,0,0,1,gml-2.0
4416,20301,3,2,2003,3,2,2003,5,3,0,0,0,0,7,3,0,1,1,0,0,0,0,gml-2.0
4417,20302,26,4,2003,26,4,2003,5,3,0,0,0,0,7,3,0,1,1,0,0,0,0,gml-2.0
4418,20303,27,5,2003,27,5,2003,5,3,0,0,0,0,8,3,1,1,1,0,0,0,0,gml-2.0
4419,20304,NA,7,2003,NA,1,2004,5,3,0,0,214,154,14,3,0,1,1,0,0,0,0,gml-2.0
4420,20305,20,9,2003,20,9,2003,5,3,0,0,0,0,7,3,0,1,1,20311,0,0,0,gml-2.0
4422,20402,2,4,2004,6,8,2004,5,3,0,0,126,126,16,4,1,1,1,20305,20311,0,0,gml-2.0
4423,20403,21,10,2004,30,3,2005,5,3,0,0,160,160,7,3,1,1,1,20201,4193,4210,0,gml-2.0
